losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0006831485079601407,0.895,0.894,0.894,0.9936
0.009018206037580967,0.8005,0.7825,0.857,0.9978
0.01463361456990242,0.7376666666666667,0.7436666666666667,0.878,0.9994
0.021788520738482475,0.6815,0.68275,0.82,0.9982
0.024366945028305054,0.6328,0.6368,0.883,0.999
0.029805008322000504,0.6045,0.6111666666666666,0.893,0.9996
0.030889632180333138,0.569,0.5705714285714286,0.89,0.9984
0.036184292286634445,0.54,0.53275,0.86,0.999
0.04097391664981842,0.5094444444444445,0.5043333333333333,0.867,1.0
0.04595661163330078,0.4755,0.4536,0.786,0.9976
