losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007995958440005779,0.875,0.875,0.875,0.9952
0.010096607729792595,0.7955,0.7775,0.852,0.9974
0.017730791121721268,0.7266666666666667,0.717,0.867,0.9982
0.026804542168974876,0.66725,0.636,0.817,0.999
0.03476283326745033,0.6272,0.5908,0.884,0.9986
0.037815745919942856,0.591,0.5476666666666666,0.874,0.9998
0.05146699771285057,0.5574285714285714,0.49657142857142855,0.863,0.9998
0.05229739844799042,0.5175,0.45425,0.857,0.999
0.06484951078891754,0.5028888888888889,0.42277777777777775,0.859,0.9998
0.07993607968091965,0.4641,0.3814,0.781,0.9978
