losses_train,losses_eval,accuracies_eval,accuracies_train
0.010346580296754837,0.7536514549255371,0.848,0.9956
0.004439905285835266,16.352813610076904,0.4195,0.9986
0.012200996279716492,16.90149843343099,0.287,0.9974
0.04240691661834717,19.006080132961273,0.212,0.9976
0.0065787434577941895,21.310878215789796,0.1728,0.9992
0.055365271866321564,21.67559595680237,0.14483333333333334,0.9956
0.010202646255493164,19.33544241768973,0.12628571428571428,0.9972
0.03976414352655411,24.070029022216797,0.10425,0.9928
0.025439031422138214,22.486503724310133,0.09755555555555556,0.9962
0.018449150025844574,30.020921502685546,0.0895,0.9984
