losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.011568553745746613,0.868,0.875,0.875,0.9978
0.017978915944695473,0.7945,0.7905,0.869,0.9986
0.013180561363697052,0.71,0.6933333333333334,0.87,0.9992
0.010388482362031937,0.642,0.6115,0.824,0.998
0.04099927842617035,0.5892,0.5372,0.888,0.9992
0.01577959768474102,0.556,0.5133333333333333,0.898,0.9996
0.013769969344139099,0.5274285714285715,0.48442857142857143,0.878,0.9996
0.024971598759293556,0.4955,0.44325,0.872,0.9996
0.00707642175257206,0.47244444444444444,0.4161111111111111,0.886,0.9998
0.005550570320338011,0.4336,0.3733,0.773,0.9986
