losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0008448957232758403,0.888,0.893,0.893,0.9946
0.05202062055468559,0.5975,0.583,0.688,0.7166
0.021553559228777885,0.5303333333333333,0.52,0.753,0.7818
0.023451341316103935,0.4755,0.461,0.698,0.7332
0.01706530712544918,0.4264,0.4182,0.786,0.7888
0.018276065587997437,0.4008333333333333,0.3785,0.763,0.7998
0.021525634452700615,0.38357142857142856,0.358,0.733,0.7618
0.019813233986496925,0.36,0.337,0.72,0.7594
0.024016251787543297,0.33666666666666667,0.31633333333333336,0.701,0.7238
0.023207319900393486,0.3177,0.3006,0.646,0.6586
