losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0008500568219460547,0.0008984090238809586,0.843,0.843,0.9936
0.0007242314168252051,0.002813602590933442,0.4355,0.871,0.997
0.0002503050782252103,0.002272313188140591,0.309,0.927,0.9996
0.0006031144293956459,0.0019882711092941464,0.20925,0.837,0.9986
0.000278534775134176,0.0017425631819292904,0.1702,0.851,0.9994
0.00019134268222842366,0.0014745447998866438,0.1465,0.879,0.9998
0.00027883052825927734,0.0012656906176624553,0.12542857142857142,0.878,0.9996
0.0005006028804928064,0.0011400572468992323,0.11375,0.91,0.9998
0.00011136649118270725,0.0010079856775442346,0.09888888888888889,0.89,0.9994
0.00015082885511219501,0.0008947495198342949,0.0891,0.891,0.9996
