losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007910847198218107,0.881,0.879,0.879,0.994
0.008604036644101143,0.8005,0.7825,0.864,0.9962
0.016412805765867233,0.7406666666666667,0.7386666666666667,0.866,0.999
0.021452702581882477,0.686,0.68975,0.823,0.9986
0.025530675426125526,0.6396,0.639,0.886,0.9984
0.03105381689965725,0.6015,0.5991666666666666,0.887,0.9992
0.04041370749473572,0.5672857142857143,0.5605714285714286,0.879,0.9994
0.049122367054224014,0.532625,0.5075,0.866,1.0
0.06422429531812668,0.5111111111111111,0.48155555555555557,0.884,1.0
0.07843498140573502,0.4701,0.437,0.796,0.9968
