losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0009246292756870389,0.873,0.874,0.874,0.9962
0.008427407592535019,0.788,0.7705,0.852,0.9974
0.0187909547239542,0.7236666666666667,0.7006666666666667,0.865,0.999
0.027629660442471504,0.67175,0.638,0.806,0.9984
0.03543029725551605,0.6272,0.5832,0.884,0.9986
0.041738808155059814,0.5971666666666666,0.5466666666666666,0.89,0.9994
0.05478936433792114,0.5651428571428572,0.5007142857142857,0.883,0.9994
0.06556782126426697,0.527625,0.4515,0.858,0.9992
0.0759177878499031,0.49077777777777776,0.41244444444444445,0.867,0.9996
0.0885942131280899,0.4543,0.362,0.789,0.9984
