losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.02642577327787876,0.000982229307293892,0.808,0.808,0.9746
0.0063143083825707436,0.0026386006623506544,0.413,0.826,0.9976
0.002609028248116374,0.0024621190776427586,0.307,0.896,0.9998
0.0008708097157068551,0.0023793818093836307,0.22075,0.865,0.999
0.00093050766736269,0.001938818097114563,0.1964,0.912,0.9994
0.0010195998474955559,0.0021418623502055803,0.15866666666666668,0.901,0.9998
0.0012839976698160172,0.0021178395258528845,0.128,0.867,0.9992
0.0013682071585208178,0.0024067327231168745,0.121,0.888,0.9998
0.0006975273718126118,0.002546604875061247,0.11055555555555556,0.943,0.9998
0.001963196322321892,0.002907981285452843,0.0945,0.914,0.9994
