losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0004900197382085025,0.882,0.882,0.882,0.9968
0.03180975466966629,0.6925,0.6835,0.775,0.8296
0.012511362321674824,0.6163333333333333,0.6103333333333333,0.8,0.8862
0.016056038439273834,0.5455,0.53275,0.741,0.8194
0.016538048163056374,0.502,0.4906,0.832,0.8656
0.013395066373050213,0.4785,0.45716666666666667,0.816,0.8812
0.017041204497218132,0.4551428571428571,0.426,0.777,0.8372
0.0159287229180336,0.42875,0.4,0.778,0.8422
0.0179776418954134,0.41155555555555556,0.38222222222222224,0.778,0.816
0.018431859090924263,0.3879,0.3653,0.7,0.7434
