losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007411425467580557,0.871,0.87,0.87,0.9954
0.007227603811770678,0.804,0.7805,0.856,0.9974
0.013891350477933884,0.753,0.75,0.875,0.999
0.019948966801166534,0.69475,0.7005,0.835,0.9974
0.02913185954093933,0.6396,0.6436,0.889,0.9988
0.02701999619603157,0.6081666666666666,0.6173333333333333,0.897,1.0
0.029919959604740143,0.5678571428571428,0.5672857142857143,0.867,0.999
0.031246593222022057,0.5295,0.518375,0.86,0.9988
0.04582452028989792,0.49944444444444447,0.48377777777777775,0.878,0.9996
0.049914319068193436,0.459,0.4373,0.774,0.9972
