losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007110574515536427,0.0009486552029848099,0.832,0.832,0.991
0.0007216809317469597,0.0029396089063957334,0.4385,0.877,0.9976
0.00020111564663238823,0.0024266576285784445,0.29833333333333334,0.895,0.9992
0.00025940994964912534,0.002005475340411067,0.2235,0.894,0.9994
0.00021458326955325902,0.0016773843020462663,0.1792,0.896,0.9998
0.000561604683753103,0.001457613505423069,0.148,0.888,0.9988
0.00017885121633298695,0.001231529634845044,0.12142857142857143,0.85,0.9984
0.00011205085320398211,0.0011496240076376125,0.1165,0.932,0.9996
0.00034194282488897443,0.0010213054349749453,0.09855555555555555,0.887,1.0
0.0003108547243755311,0.0009334772632922977,0.0878,0.878,0.9988
