losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0009686160483397543,0.879,0.881,0.881,0.9936
0.011856140568852425,0.7165,0.6805,0.743,0.9938
0.023406757041811943,0.6783333333333333,0.6353333333333333,0.882,0.9994
0.03309588506817818,0.6285,0.5685,0.825,0.9994
0.04245653375983238,0.606,0.5332,0.921,1.0
0.050094060599803925,0.5666666666666667,0.47733333333333333,0.83,0.9996
0.06015802174806595,0.5532857142857143,0.45157142857142857,0.877,0.9996
0.06664305180311203,0.51025,0.410375,0.829,1.0
0.07033553719520569,0.48877777777777776,0.3798888888888889,0.87,0.9996
0.08241619914770126,0.4628,0.3498,0.837,0.9998
