losses_train,losses_eval,accuracies_eval
2.1083879470825195,9.18988671875,0.143
1.9867874383926392,3.87372314453125,0.314
1.9968043565750122,3.6294829711914063,0.315
1.763257384300232,3.5411011962890626,0.39
1.8616671562194824,3.397262756347656,0.365
1.6738197803497314,3.1983148193359376,0.422
1.771621584892273,2.92657568359375,0.474
1.6775527000427246,3.0045570068359373,0.463
1.7491849660873413,2.542290771484375,0.478
1.564204454421997,2.4311161193847655,0.506
1.1566358804702759,2.1852417297363282,0.587
1.2655936479568481,2.080915344238281,0.607
1.1632548570632935,1.9876397705078126,0.616
1.0715153217315674,1.900214813232422,0.635
1.1310118436813354,1.8664527740478516,0.643
