losses_train,losses_eval,accuracies_eval
2.3537864685058594,5.656861251831055,0.05
2.3196139335632324,5.779636917114257,0.05
2.330946683883667,5.812236404418945,0.05
2.3227176666259766,5.845378852844238,0.05
2.3140602111816406,5.886201591491699,0.05
2.3368983268737793,5.913261421203614,0.05
2.3070051670074463,5.939733222961426,0.05
2.311743974685669,5.979110008239746,0.05
2.345980405807495,5.985074264526367,0.05
2.3299782276153564,5.998268028259277,0.05
2.3128581047058105,6.021743705749512,0.05
2.353895664215088,6.045607810974121,0.05
2.3037190437316895,6.055025276184082,0.05
2.331596612930298,6.0828886947631835,0.05
2.319122314453125,6.080340225219727,0.05
