losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007306309416890144,0.87,0.874,0.874,0.9938
0.008794046007096767,0.786,0.7645,0.831,0.9978
0.01638885587453842,0.737,0.7316666666666667,0.858,0.9982
0.021179312840104103,0.683,0.683,0.838,0.9976
0.026751838624477386,0.6386,0.6392,0.887,0.999
0.03708808496594429,0.6065,0.5956666666666667,0.875,0.9996
0.044407401233911514,0.5677142857142857,0.5451428571428572,0.854,0.9998
0.052530497312545776,0.5435,0.508,0.869,0.9996
0.06887727230787277,0.515,0.48133333333333334,0.864,0.9998
0.083135224878788,0.481,0.4413,0.79,0.998
