losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007610705797560513,0.852,0.854,0.854,0.9926
0.010485206730663776,0.7565,0.7365,0.845,0.9974
0.01894778572022915,0.723,0.701,0.876,0.9998
0.0292791947722435,0.672,0.63875,0.844,1.0
0.04186708480119705,0.6248,0.5792,0.876,0.9992
0.04916086047887802,0.59,0.5326666666666666,0.861,0.9984
0.060271166265010834,0.5425714285714286,0.487,0.815,0.9988
0.06327789276838303,0.523,0.45175,0.889,0.9994
0.0728611946105957,0.48977777777777776,0.4197777777777778,0.847,1.0
0.08510928601026535,0.4678,0.3871,0.866,0.9994
