losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0009916021954268217,0.878,0.883,0.883,0.9936
0.007846267893910408,0.7895,0.7755,0.856,0.9984
0.017009107396006584,0.718,0.7083333333333334,0.866,0.9986
0.029574498534202576,0.66475,0.636,0.808,0.9986
0.034089330583810806,0.6288,0.589,0.88,0.9984
0.04350985586643219,0.5953333333333334,0.5415,0.896,0.9996
0.05713735893368721,0.5645714285714286,0.49414285714285716,0.86,0.9994
0.06556630879640579,0.526625,0.45025,0.843,0.9992
0.07497538626194,0.5086666666666667,0.4245555555555556,0.876,0.9998
0.08247999101877213,0.4717,0.3838,0.78,0.998
