losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0014947146410122514,0.885,0.885,0.885,0.995
0.00884418934583664,0.794,0.7785,0.867,0.9978
0.015986395999789238,0.7286666666666667,0.726,0.815,0.9978
0.020933441817760468,0.68475,0.6885,0.883,0.9984
0.026556137949228287,0.6334,0.6394,0.847,0.9992
0.032107215374708176,0.5938333333333333,0.5876666666666667,0.861,0.9992
0.04114512354135513,0.5545714285714286,0.5475714285714286,0.86,0.9992
0.0506419837474823,0.526375,0.507,0.878,0.9992
0.06226411834359169,0.5037777777777778,0.47755555555555557,0.899,0.9998
0.07194831967353821,0.476,0.4523,0.901,0.9998
