losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.00048364102258346975,0.877,0.876,0.876,0.9946
0.010046585462987423,0.788,0.7805,0.854,0.998
0.019860105589032173,0.741,0.744,0.872,0.9984
0.02125263586640358,0.674,0.67125,0.822,0.9982
0.02593117207288742,0.6344,0.6388,0.891,0.9984
0.03079882077872753,0.6038333333333333,0.6098333333333333,0.89,0.9998
0.03831932321190834,0.571,0.5665714285714286,0.871,0.9988
0.04550059139728546,0.541125,0.5245,0.86,0.9994
0.06230727955698967,0.5052222222222222,0.4855555555555556,0.879,0.9994
0.07748302072286606,0.4685,0.44,0.785,0.9976
