losses_train,losses_eval,accuracies_eval
2.2782351970672607,5.528380798339843,0.059
2.235541820526123,4.5846209106445315,0.14
2.264955520629883,4.472950653076172,0.181
2.189631938934326,4.35501254272461,0.204
2.1581361293792725,4.371540100097656,0.202
1.9669339656829834,3.9056144104003905,0.305
1.7880154848098755,3.4424637451171876,0.338
1.9116618633270264,3.458539489746094,0.344
1.4614351987838745,3.2828531494140627,0.388
1.7591273784637451,2.837387908935547,0.443
1.5888625383377075,2.5898769378662108,0.517
1.43049156665802,2.4532391204833983,0.528
1.2663055658340454,2.3497611083984373,0.565
1.2304587364196777,2.391038314819336,0.524
1.2883620262145996,2.1431131896972655,0.559
1.1178361177444458,1.9957735137939454,0.58
1.0340666770935059,1.8458268737792969,0.634
0.9009687304496765,1.7697164764404296,0.616
0.7681819796562195,1.7085701599121095,0.608
0.861260712146759,1.818848648071289,0.568
0.6759489178657532,1.5209765167236329,0.66
0.9145239591598511,1.3984031982421874,0.699
0.666602373123169,1.3198233642578125,0.697
0.7228440046310425,1.2888657608032226,0.702
0.7321107387542725,1.6171566162109374,0.619
0.7291196584701538,1.1574811553955078,0.735
0.6380841135978699,1.1905068969726562,0.714
0.6227285861968994,1.2841081085205077,0.688
0.45978373289108276,1.0078204574584961,0.766
0.5820936560630798,1.0883361663818358,0.755
0.5081512928009033,0.978494026184082,0.754
0.3770330250263214,1.0598721008300782,0.742
0.46767258644104004,0.9812197113037109,0.765
0.6800761222839355,1.1711490936279296,0.718
0.3814910054206848,1.0499366302490234,0.749
0.5738106966018677,1.0522255096435547,0.761
0.4821194112300873,1.0417707290649414,0.762
0.30611205101013184,0.8600890808105469,0.781
0.413938045501709,0.9709265899658203,0.76
0.3251447081565857,0.9079772491455078,0.79
0.42445507645606995,0.9389589080810546,0.776
0.28006190061569214,0.9386079559326171,0.776
0.2691855728626251,0.9011903686523437,0.776
0.1538897603750229,0.8108959579467774,0.801
0.2835233211517334,0.8407128829956054,0.789
0.21034440398216248,0.8446241912841796,0.797
0.31912341713905334,0.9389918670654297,0.785
0.2582973837852478,0.9087597122192382,0.777
0.2636304199695587,0.9326110916137695,0.782
0.16760589182376862,0.6469782409667969,0.844
0.11023520678281784,0.639474235534668,0.843
0.13573391735553741,0.6412353286743164,0.851
0.07964619994163513,0.6218737869262695,0.852
0.05917172133922577,0.6648548431396485,0.85
0.08324084430932999,0.6476649284362793,0.848
0.0407930351793766,0.7015298805236816,0.841
0.044752441346645355,0.6967194290161133,0.843
0.05644085258245468,0.6801678943634033,0.855
0.08688300848007202,0.733428783416748,0.84
0.10237837582826614,0.7138263320922852,0.848
0.0567910335958004,0.7236241035461426,0.844
0.05442241206765175,0.7551751976013183,0.851
0.01512729749083519,0.7402103290557861,0.854
0.06561581790447235,0.7358159027099609,0.852
0.03471628576517105,0.731313304901123,0.851
0.04815186932682991,0.7403179740905762,0.842
0.05509336665272713,0.7427825756072998,0.845
0.02139308676123619,0.7531466102600097,0.848
0.028666649013757706,0.7434645862579345,0.849
0.010346580296754837,0.7536514549255371,0.848
