losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0017332364805042744,0.000891316220164299,0.846,0.846,0.9906
0.0007196396472863853,0.0029846474574878813,0.4385,0.877,0.9964
0.00025281470152549446,0.0024277908531948923,0.297,0.891,0.9988
0.00032908274442888796,0.0020387020704802127,0.221,0.884,0.9986
0.00015623743820469826,0.0016885274964850395,0.1808,0.904,1.0
0.000300952116958797,0.0014529072888350735,0.15033333333333335,0.902,0.9986
0.0004003768553957343,0.0012661286926429188,0.12142857142857143,0.85,0.999
0.00017795924213714898,0.0011426856476755348,0.115625,0.925,1.0
0.0002921234699897468,0.001045112501674642,0.0971111111111111,0.874,0.9992
0.000242244204855524,0.0009457643411122262,0.0885,0.885,0.9996
