losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0014128272887319326,0.838,0.836,0.836,0.992
0.01025355327874422,0.7735,0.7625,0.865,0.9976
0.018557628616690636,0.7123333333333334,0.7,0.888,0.9994
0.02777870185673237,0.66075,0.6395,0.822,0.9994
0.04237618297338486,0.6176,0.5876,0.862,0.9994
0.05169326812028885,0.5808333333333333,0.5413333333333333,0.87,0.9996
0.05744154378771782,0.5411428571428571,0.4887142857142857,0.865,0.9988
0.06928125023841858,0.508,0.444625,0.825,0.9988
0.07278034090995789,0.47633333333333333,0.4142222222222222,0.841,0.9998
0.08609464764595032,0.4496,0.3911,0.864,0.9992
