losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0010565811535343528,0.854,0.854,0.854,0.991
0.010607311502099037,0.7445,0.7365,0.818,0.9976
0.01991964690387249,0.7123333333333334,0.703,0.9,0.9994
0.030336927622556686,0.66675,0.63625,0.86,0.9994
0.04114307463169098,0.6216,0.5954,0.856,0.9992
0.04743099957704544,0.5906666666666667,0.555,0.901,1.0
0.0551680251955986,0.5477142857142857,0.49742857142857144,0.852,0.9996
0.06759344041347504,0.498125,0.436125,0.745,0.998
0.08024465292692184,0.471,0.39444444444444443,0.812,0.9994
0.08338683843612671,0.4526,0.3766,0.884,0.9998
