losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.001111203688196838,0.839,0.845,0.845,0.9926
0.010682367719709873,0.746,0.7425,0.864,0.997
0.019391782581806183,0.7133333333333334,0.698,0.866,0.9994
0.030216796323657036,0.65575,0.62525,0.848,1.0
0.038449645042419434,0.6174,0.574,0.861,0.9994
0.046901412308216095,0.5738333333333333,0.5293333333333333,0.863,0.9986
0.055532101541757584,0.5357142857142857,0.47885714285714287,0.822,0.9996
0.06439864635467529,0.509375,0.44925,0.881,0.9998
0.07300500571727753,0.4811111111111111,0.4196666666666667,0.854,0.9996
0.08300173282623291,0.4552,0.3884,0.856,0.9994
