losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0015572609845548868,0.868,0.871,0.871,0.9926
0.009904403239488602,0.787,0.766,0.833,0.996
0.020763810724020004,0.729,0.7113333333333334,0.879,0.999
0.029117053374648094,0.66175,0.637,0.818,0.999
0.040905874222517014,0.612,0.582,0.881,0.9992
0.04625017195940018,0.5761666666666667,0.5343333333333333,0.882,1.0
0.05964256078004837,0.545,0.4938571428571429,0.869,0.9992
0.06550125032663345,0.5165,0.446375,0.873,0.999
0.07855668663978577,0.49166666666666664,0.4251111111111111,0.877,0.9998
0.08708923310041428,0.4637,0.3875,0.781,0.9986
