losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0014186408370733261,0.886,0.885,0.885,0.9948
0.011441738344728947,0.7165,0.687,0.761,0.996
0.02191913314163685,0.6936666666666667,0.6446666666666667,0.895,1.0
0.03290341794490814,0.632,0.57275,0.84,0.9992
0.041046492755413055,0.6118,0.5382,0.91,0.9998
0.045727092772722244,0.5688333333333333,0.4801666666666667,0.84,0.9994
0.057265520095825195,0.553,0.4594285714285714,0.887,0.9996
0.06592404097318649,0.507625,0.409375,0.829,0.9998
0.07032886147499084,0.49066666666666664,0.38322222222222224,0.877,0.9998
0.07711765915155411,0.4624,0.3466,0.827,0.9994
