losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.03925509378314018,0.0007645084038376809,0.831,0.831,0.9412
0.0032045317348092794,0.003405583454295993,0.43,0.86,0.9968
0.001009597908705473,0.0026078376875569424,0.294,0.882,0.9994
0.00031849887454882264,0.0021190184166189284,0.22275,0.891,0.9998
0.00028990799910388887,0.0018613107580691575,0.1778,0.889,0.9998
0.00023050357413012534,0.001469856621697545,0.14666666666666667,0.88,0.9998
0.0008913302444852889,0.0013014195276025151,0.12857142857142856,0.9,1.0
0.00015842460561543703,0.0011512320723268204,0.1095,0.876,0.999
0.0005394613835960627,0.001035016519146868,0.10088888888888889,0.908,0.9996
0.00028336839750409126,0.0009520547328982503,0.0927,0.927,0.9998
