losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0004938683705404401,-1,0.88,0.88,0.994
0.01293116807937622,-1,0.7105,0.862,0.9986
0.025034775957465172,-1,0.6023333333333334,0.853,0.999
0.04193306341767311,-1,0.50325,0.813,0.9976
0.05488754063844681,-1,0.4038,0.87,0.999
0.07070168107748032,-1,0.37833333333333335,0.87,0.9992
0.08783874660730362,-1,0.3577142857142857,0.839,0.9986
0.10773663967847824,-1,0.300625,0.843,0.9988
0.12690021097660065,-1,0.2718888888888889,0.855,0.9992
0.14952753484249115,-1,0.2477,0.762,0.9956
