losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0006041094311513007,0.883,0.887,0.887,0.9942
0.010115096345543861,0.7875,0.7755,0.841,0.9988
0.01905287243425846,0.7123333333333334,0.7,0.851,0.9994
0.030071450397372246,0.644,0.6325,0.809,0.9986
0.038811344653367996,0.5966,0.574,0.88,0.9986
0.0457659550011158,0.5668333333333333,0.5428333333333333,0.88,0.9994
0.05892591178417206,0.5211428571428571,0.49457142857142855,0.853,0.9994
0.06622684746980667,0.495,0.45625,0.861,0.9994
0.07525571435689926,0.4651111111111111,0.42866666666666664,0.879,0.9996
0.08658603578805923,0.4227,0.3911,0.782,0.9976
