losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.001596133690327406,0.0005796941295266152,0.884,0.884,0.994
0.0005896361544728279,0.0028410567846149206,0.405,0.81,0.9972
0.00017930901958607137,0.0024051911691203715,0.30766666666666664,0.923,1.0
0.0002491241320967674,0.0020743716533761472,0.2165,0.866,0.9998
0.00012770076864399016,0.0017279924666509033,0.1856,0.928,1.0
0.00023549064644612372,0.0014880367278431853,0.149,0.894,0.9994
0.0001608917082194239,0.0012336110547850174,0.13042857142857142,0.913,0.9996
0.00023143328144215047,0.0011686504355166106,0.110125,0.881,0.9998
0.00019284922746010125,0.00102955421163804,0.10077777777777777,0.907,0.9994
0.0007623530691489577,0.0008984851167537272,0.0858,0.858,0.9998
