losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0008338128100149333,0.884,0.889,0.889,0.9944
0.01171877607703209,0.7115,0.7155,0.762,0.9946
0.020167836919426918,0.6716666666666666,0.659,0.882,0.9996
0.032765645533800125,0.58525,0.57875,0.823,0.9996
0.03985783830285072,0.5402,0.546,0.905,0.9996
0.05009106546640396,0.5003333333333333,0.5046666666666667,0.846,0.9992
0.06228264793753624,0.47414285714285714,0.47314285714285714,0.874,0.9992
0.07262181490659714,0.427,0.429375,0.83,0.998
0.0772763267159462,0.392,0.41044444444444445,0.885,0.999
0.08660152554512024,0.3643,0.3787,0.848,0.9996
