losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0004939797217957675,-1,0.886,0.886,0.9966
0.01419166848063469,-1,0.638,0.768,0.9956
0.02564266324043274,-1,0.5483333333333333,0.88,0.9996
0.0422358401119709,-1,0.43125,0.836,0.9978
0.057394154369831085,-1,0.4102,0.896,0.9996
0.07626329362392426,-1,0.341,0.854,0.999
0.09107351303100586,-1,0.32442857142857146,0.871,0.999
0.10748063772916794,-1,0.29,0.831,0.9984
0.12537649273872375,-1,0.2712222222222222,0.871,0.9992
0.144541397690773,-1,0.2512,0.822,0.9982
