losses_train,losses_eval,accuracies_eval
2.264244318008423,4.9754013671875,0.11
2.084170341491699,4.192437927246094,0.218
2.026400089263916,4.123617553710938,0.24
1.826292634010315,3.9826978149414063,0.258
1.8623312711715698,3.74748583984375,0.302
1.8061219453811646,3.509424560546875,0.318
1.6856838464736938,3.4671036376953124,0.366
1.470104455947876,3.173298828125,0.414
1.4173598289489746,3.2172608032226564,0.442
1.4696393013000488,3.088754699707031,0.488
1.344481348991394,2.7991460571289064,0.472
1.562743902206421,3.1125081787109377,0.392
1.3397148847579956,2.8020440673828126,0.51
1.0672967433929443,2.492919616699219,0.57
1.136824131011963,2.3552081909179687,0.57
