losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.001085716183297336,0.87,0.873,0.873,0.9954
0.007118867244571447,0.781,0.7685,0.854,0.9988
0.016269410029053688,0.7456666666666667,0.745,0.876,0.999
0.020503802224993706,0.68325,0.687,0.836,0.9988
0.021332893520593643,0.6334,0.6394,0.887,0.9982
0.025815261527895927,0.5948333333333333,0.6008333333333333,0.874,0.999
0.031980402767658234,0.5581428571428572,0.5631428571428572,0.873,0.9998
0.03843417391180992,0.521875,0.508625,0.865,0.9994
0.03697090595960617,0.488,0.47633333333333333,0.883,0.9994
0.05076264217495918,0.446,0.4221,0.776,0.9982
