losses_train,losses_eval,accuracies_eval,accuracies_train
0.02935411036014557,0.7234256515502929,0.849,0.9954
0.04066453129053116,1.0449009170532226,0.798,0.9945
0.040780648589134216,1.1741608759562174,0.7863333333333333,0.9953333333333333
0.06307003647089005,1.459121977329254,0.7345,0.98755
0.0869831070303917,1.6034069499969483,0.7152,0.98252
0.07638882100582123,1.5662724329630533,0.7085,0.9731666666666666
0.13051177561283112,1.5864911793300083,0.6958571428571428,0.9651142857142857
0.22483590245246887,1.5918644790649414,0.684125,0.94935
0.1990433931350708,1.719216396331787,0.6668888888888889,0.9393333333333334
0.2136441022157669,1.682192791366577,0.6619,0.92536
