losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.028647474944591522,0.9353625831604004,0.83,0.83,0.9962
0.011246494948863983,16.547915714263915,0.4345,0.869,0.9992
0.011460177600383759,13.868041237195333,0.29233333333333333,0.877,0.9986
0.016943834722042084,20.53261682319641,0.21375,0.855,0.9986
0.019073881208896637,18.02626462459564,0.173,0.865,0.998
0.005485460162162781,24.63978523635864,0.14333333333333334,0.86,0.996
0.02808990329504013,23.00000160762242,0.11685714285714285,0.818,0.9926
0.019146502017974854,24.034729659557343,0.1105,0.884,0.9992
0.03354301303625107,27.104372325897216,0.09411111111111112,0.847,0.9974
0.01175815612077713,23.102622625350953,0.0819,0.819,0.9934
