losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0006919759325683117,0.88,0.883,0.883,0.9946
0.008811147883534431,0.792,0.776,0.86,0.9988
0.016010131686925888,0.734,0.71,0.863,1.0
0.030203236266970634,0.67525,0.64175,0.814,0.9986
0.035212378948926926,0.6192,0.5808,0.887,0.9996
0.04272293299436569,0.6058333333333333,0.5425,0.891,0.9996
0.05414530262351036,0.5618571428571428,0.49442857142857144,0.873,0.9996
0.05936025455594063,0.52125,0.44025,0.851,0.9994
0.07352573424577713,0.4817777777777778,0.4043333333333333,0.876,0.9998
0.08605574071407318,0.3807,0.3347,0.777,0.998
