losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0014770420966669917,0.866,0.87,0.87,0.993
0.010982992127537727,0.803,0.792,0.875,0.999
0.020575113594532013,0.7126666666666667,0.701,0.804,0.9984
0.02887066826224327,0.66225,0.641,0.872,0.9996
0.03710031509399414,0.61,0.5838,0.842,0.9992
0.04682404547929764,0.575,0.5256666666666666,0.86,0.9994
0.053233128041028976,0.5474285714285714,0.499,0.872,0.9992
0.06900748610496521,0.5225,0.457625,0.866,0.9992
0.07456734776496887,0.49922222222222223,0.42744444444444446,0.889,0.9992
0.08033478260040283,0.4822,0.4008,0.884,0.9998
