losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007456123130396008,0.876,0.878,0.878,0.9956
0.00980644952505827,0.796,0.775,0.857,0.9966
0.01933271437883377,0.731,0.7116666666666667,0.877,0.9992
0.02784532494843006,0.66725,0.63225,0.814,0.9984
0.03670964017510414,0.6182,0.579,0.884,0.9992
0.04654758796095848,0.591,0.5433333333333333,0.888,1.0
0.05769455432891846,0.5497142857142857,0.48914285714285716,0.868,0.9998
0.06558537483215332,0.522125,0.446625,0.852,0.9994
0.07425391674041748,0.49433333333333335,0.4157777777777778,0.874,0.9996
0.08650892972946167,0.4611,0.3838,0.793,0.9982
