losses_train,losses_eval,accuracies_eval
2.1121573448181152,6.811786743164062,0.168
2.00205135345459,4.032318664550782,0.23
2.0026323795318604,3.7664658813476564,0.268
1.7961013317108154,3.6477360229492186,0.322
1.8448747396469116,3.6199022827148437,0.346
