losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0008792108274064958,0.884,0.883,0.883,0.994
0.012040342204272747,0.7395,0.713,0.768,0.9976
0.020118368789553642,0.6996666666666667,0.675,0.883,0.9994
0.029255377128720284,0.63525,0.60025,0.846,0.9988
0.03876054286956787,0.6082,0.5726,0.905,1.0
0.04852336645126343,0.5675,0.5231666666666667,0.836,0.9994
0.059422776103019714,0.5481428571428572,0.4938571428571429,0.873,0.9996
0.06743861734867096,0.5055,0.440875,0.847,0.9994
0.07344652712345123,0.4928888888888889,0.419,0.874,0.9996
0.0811685174703598,0.4615,0.3868,0.842,0.9992
