losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0008151973015628755,0.889,0.891,0.891,0.9958
0.011957800015807152,0.8255,0.811,0.854,0.9976
0.01979966089129448,0.7343333333333333,0.7126666666666667,0.855,0.998
0.028306758031249046,0.666,0.642,0.824,0.998
0.04042307659983635,0.6374,0.6122,0.856,0.9996
0.04749229922890663,0.5993333333333334,0.5621666666666667,0.86,0.9994
0.06149306148290634,0.5542857142857143,0.5058571428571429,0.82,0.9992
0.06988517940044403,0.52575,0.469375,0.868,0.9986
0.07441752403974533,0.51,0.4481111111111111,0.886,0.9998
0.09139660000801086,0.4782,0.4115,0.887,0.9996
