losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007407037192024291,0.876,0.878,0.878,0.9938
0.008137834258377552,0.7865,0.769,0.856,0.997
0.01637957990169525,0.7236666666666667,0.7113333333333334,0.863,0.9998
0.02565307542681694,0.6635,0.6365,0.835,0.9988
0.03425362706184387,0.6254,0.5862,0.883,0.9996
0.04791421815752983,0.5935,0.5456666666666666,0.892,0.9996
0.05763919651508331,0.5645714285714286,0.49342857142857144,0.854,0.9996
0.06552961468696594,0.522375,0.44875,0.858,0.9992
0.07474694401025772,0.503,0.4098888888888889,0.877,0.9996
0.08827248960733414,0.4636,0.3689,0.798,0.9982
