losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0006749795866198838,0.871,0.869,0.869,0.997
0.00820402055978775,0.795,0.7775,0.849,0.9976
0.013625036925077438,0.7343333333333333,0.74,0.867,0.9992
0.02273784577846527,0.676,0.672,0.824,0.9984
0.022425968199968338,0.6348,0.6318,0.871,0.998
0.027688149362802505,0.5926666666666667,0.5911666666666666,0.881,0.999
0.02737615443766117,0.5625714285714286,0.5608571428571428,0.883,0.9996
0.034426454454660416,0.526125,0.517,0.862,0.9996
0.0401969850063324,0.5047777777777778,0.49922222222222223,0.877,0.9996
0.04466942325234413,0.467,0.4568,0.786,0.9978
