losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007910685962997377,0.0008587507829070091,0.847,0.847,0.9928
0.0007786698406562209,0.0028665076866745947,0.442,0.884,0.9972
0.0002056512894341722,0.002305896404199302,0.30333333333333334,0.91,0.9996
0.0003447685739956796,0.0020562804411165415,0.2135,0.854,0.9978
0.0002556522376835346,0.0017588192434050143,0.1672,0.836,0.9998
0.00018422082939650863,0.0014803977922225992,0.148,0.888,0.9998
0.0001519243378425017,0.0012791240317746996,0.12685714285714286,0.888,0.9996
0.0005668221274390817,0.001149793711316306,0.112375,0.899,1.0
0.00025426025968044996,0.0010136665215250105,0.09977777777777778,0.898,0.9996
0.00029758960590697825,0.0009189680617302656,0.0893,0.893,0.9994
