losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0005946810124441981,0.868,0.876,0.876,0.9964
0.0016223299317061901,0.804,0.7915,0.869,0.999
0.0019277411047369242,0.7456666666666667,0.7296666666666667,0.902,1.0
0.0022604831028729677,0.6755,0.64525,0.863,0.9998
0.0020082213450223207,0.6162,0.575,0.918,1.0
0.001895614666864276,0.5761666666666667,0.5218333333333334,0.91,1.0
0.001650731428526342,0.5287142857142857,0.4521428571428571,0.899,0.9996
0.0017242033500224352,0.485125,0.386125,0.887,1.0
0.0017754548462107778,0.4471111111111111,0.3338888888888889,0.911,1.0
0.0021112882532179356,0.3927,0.2721,0.816,0.9982
