losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007736374391242862,-1,0.868,0.868,0.9934
0.012845446355640888,-1,0.6475,0.795,0.9958
0.02936377190053463,-1,0.523,0.822,0.9986
0.041128166019916534,-1,0.45075,0.869,0.999
0.057528942823410034,-1,0.3916,0.898,0.9988
0.07172118872404099,-1,0.35433333333333333,0.878,0.999
0.09009548276662827,-1,0.3212857142857143,0.874,0.999
0.11136770248413086,-1,0.306875,0.852,0.999
0.12580576539039612,-1,0.275,0.83,0.998
0.1410725861787796,-1,0.2529,0.82,0.9984
