losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0011631521629169583,0.838,0.842,0.842,0.9884
0.010525698773562908,0.766,0.7465,0.888,0.9988
0.022530503571033478,0.6756666666666666,0.6543333333333333,0.772,0.9962
0.029306728392839432,0.64075,0.6095,0.868,0.9992
0.04173991084098816,0.571,0.5404,0.788,0.998
0.049570970237255096,0.54,0.4985,0.85,0.9996
0.058171309530735016,0.5128571428571429,0.47185714285714286,0.915,0.9994
0.06833621114492416,0.484,0.442,0.86,0.9998
0.07868797332048416,0.485,0.43166666666666664,0.928,0.9998
0.08014284074306488,0.472,0.4082,0.88,0.9998
