losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0939558893442154,0.0012298476845026016,0.697,0.697,0.8208
0.0026458511129021645,0.002472980745136738,0.4345,0.854,0.9972
0.002548550022765994,0.0024367069254318872,0.30366666666666664,0.886,0.9996
0.0014405660331249237,0.0020106084756553173,0.2275,0.846,0.9994
0.002274450147524476,0.0020628819853067398,0.1804,0.858,0.9994
0.004097818862646818,0.0019838680153091747,0.1465,0.847,0.9992
0.0034792758524417877,0.002132623310600008,0.12242857142857143,0.833,0.9994
0.0008881326648406684,0.002336934693157673,0.111125,0.864,0.9996
0.0008615650585852563,0.0025618402891688877,0.11233333333333333,0.916,1.0
0.0017702154582366347,0.0028120497018098833,0.0932,0.898,0.9998
