losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0010143232066184282,0.874,0.878,0.878,0.997
0.010675095021724701,0.7945,0.781,0.856,0.9988
0.018068499863147736,0.7223333333333334,0.7073333333333334,0.854,0.9996
0.030820684507489204,0.6635,0.64075,0.831,0.9984
0.03732907027006149,0.6166,0.5796,0.873,0.9992
0.04303994029760361,0.5871666666666666,0.5408333333333334,0.886,0.9996
0.05586198344826698,0.5632857142857143,0.49514285714285716,0.855,0.9998
0.062041930854320526,0.53125,0.449,0.851,0.9994
0.07208243757486343,0.5117777777777778,0.4157777777777778,0.89,1.0
0.08459336310625076,0.478,0.38,0.798,0.9986
