losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0007300710421986878,0.0006162135154008866,0.892,0.892,0.9936
0.0005908582243137062,0.0028863272443413733,0.4,0.8,0.9986
0.00012102300388505682,0.0024418830201029776,0.30533333333333335,0.916,1.0
0.00027493704692460597,0.0020638842876069246,0.21825,0.873,0.9996
0.00011517474194988608,0.001708197275083512,0.1842,0.921,0.9996
0.0003400807618163526,0.0014661624318299195,0.14683333333333334,0.881,0.9992
0.0001661266724113375,0.0012411157358105161,0.13157142857142856,0.921,0.9998
0.0004300456785131246,0.0011636542154010384,0.10925,0.874,0.999
0.00022618290677201003,0.0010231326604779396,0.10188888888888889,0.917,0.9998
0.0004322763124946505,0.0008877700912184082,0.0864,0.864,0.9986
