losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.02955140545964241,0.6062947387695312,0.871,0.871,0.9978
0.012285098433494568,16.923014630317688,0.444,0.888,0.9994
0.00795377790927887,15.152059001922607,0.29233333333333333,0.877,0.9972
0.07515488564968109,18.129914264678956,0.22075,0.883,0.9988
0.044677481055259705,20.793556395721435,0.1622,0.811,0.9928
0.004372097551822662,21.939578223546345,0.15,0.9,0.9986
0.011907145380973816,19.87720950971331,0.12142857142857143,0.85,0.9966
0.02416536957025528,27.97282247209549,0.110625,0.885,0.998
0.012458667159080505,22.964043798658583,0.097,0.873,0.9978
0.04163103550672531,25.857143702316286,0.0818,0.818,0.9964
