losses_train,losses_eval,accuracies_eval
2.1616241931915283,5.047215576171875,0.191
2.0867202281951904,4.273426879882813,0.215
2.049727439880371,3.8054329833984375,0.253
1.9797489643096924,3.640004150390625,0.288
1.733961582183838,3.4153989562988283,0.363
1.789082407951355,3.235890289306641,0.356
1.7459899187088013,3.3132433166503907,0.38
1.7446894645690918,2.946988464355469,0.436
1.5651403665542603,2.7726463623046875,0.45
1.42527174949646,2.686284942626953,0.46
1.1988826990127563,2.4353888244628905,0.553
1.314787745475769,2.307636978149414,0.558
1.5129939317703247,2.2565875396728514,0.565
1.300600290298462,2.14837516784668,0.586
1.1182706356048584,2.162415557861328,0.589
