losses_train,losses_eval,accuracies_eval,accuracies_train
0.02238331362605095,0.7523381080627441,0.837,0.998
0.009836666285991669,0.8572391929626465,0.848,0.9982
0.020748890936374664,1.1782204615275065,0.7726666666666666,0.9924666666666667
0.02159779518842697,1.338936993122101,0.738,0.9896
0.05360601842403412,1.4835495077133178,0.7286,0.98548
0.0773000568151474,1.480623976389567,0.7188333333333333,0.9749
0.18838699162006378,1.6054034685407366,0.702,0.9698285714285714
0.13890761137008667,1.6071296663284302,0.684875,0.953875
0.2418622523546219,1.60391199154324,0.6785555555555556,0.9396
0.22624507546424866,1.7069508766174317,0.6581,0.92228
