losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.001126576098613441,-1,0.836,0.836,0.9908
0.014311404898762703,-1,0.644,0.846,0.9966
0.026700075715780258,-1,0.5676666666666667,0.856,0.9992
0.042278993874788284,-1,0.45425,0.822,0.998
0.05832643434405327,-1,0.404,0.842,0.999
0.07075343281030655,-1,0.35933333333333334,0.843,0.9988
0.09131921827793121,-1,0.3097142857142857,0.794,0.999
0.1049996167421341,-1,0.288375,0.881,0.9994
0.1246006190776825,-1,0.2528888888888889,0.825,0.999
0.14944350719451904,-1,0.231,0.84,0.998
