losses_train,losses_eval,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0009565218351781368,-1,0.836,0.836,0.9938
0.01209005806595087,-1,0.649,0.866,0.9954
0.027300357818603516,-1,0.5886666666666667,0.881,0.9994
0.04177902638912201,-1,0.47175,0.795,0.9966
0.05607542768120766,-1,0.379,0.77,0.9974
0.07895026355981827,-1,0.3343333333333333,0.81,0.9992
0.09421823173761368,-1,0.3072857142857143,0.839,0.9988
0.1101195216178894,-1,0.27675,0.857,0.9996
0.13068029284477234,-1,0.25833333333333336,0.843,0.9986
0.1517675817012787,-1,0.2395,0.835,0.999
